setup...ptcl num 
dens 0.156419 0.156419
dens 0.155941 0.155941
dens 0.155929 0.155929
dens 0.156777 0.156777
dens 0.156946 0.156946
dens 0.15621 0.15621
dens 0.156725 0.156725
dens 0.156409 0.156409
dens 0.156605 0.156605
dens 0.15642 0.15642
dens 0.156767 0.156767
dens 0.15672 0.15672
dens 0.155861 0.155861
dens 0.156025 0.156025
dens 0.157411 0.157411
dens 0.156508 0.156508
dens 0.156297 0.156297
dens 0.15617 0.15617
dens 0.156519 0.156519
dens 0.158123 0.158123
dens 0.157394 0.157394
dens 0.15704 0.15704
dens 0.156284 0.156284
dens 0.156545 0.156545
dens 0.157171 0.157171
dens 0.156502 0.156502
dens 0.15699 0.15699
dens 0.157038 0.157038
dens 0.156708 0.156708
dens 0.157524 0.157524
dens 0.157547 0.157547
dens 0.157315 0.157315
dens 0.157604 0.157604
dens 0.158746 0.158746
dens 0.157376 0.157376
dens 0.156682 0.156682
dens 0.158055 0.158055
dens 0.15678 0.15678
dens 0.158957 0.158957
dens 0.157743 0.157743
dens 0.156667 0.156667
dens 0.158481 0.158481
dens 0.158253 0.158253
dens 0.157896 0.157896
dens 0.157586 0.157586
dens 0.157442 0.157442
dens 0.157935 0.157935
dens 0.158971 0.158971
dens 0.158713 0.158713
dens 0.15766 0.15766
dens 0.156834 0.156834
dens 0.15811 0.15811
dens 0.158676 0.158676
dens 0.157341 0.157341
dens 0.157204 0.157204
dens 0.157444 0.157444
dens 0.158089 0.158089
dens 0.157037 0.157037
dens 0.157217 0.157217
dens 0.159088 0.159088
dens 0.157553 0.157553
dens 0.159124 0.159124
dens 0.15841 0.15841
dens 0.159565 0.159565
dens 0.158235 0.158235
dens 0.157319 0.157319
dens 0.158125 0.158125
dens 0.15837 0.15837
dens 0.159247 0.159247
dens 0.160152 0.160152
dens 0.159109 0.159109
dens 0.157537 0.157537
dens 0.157265 0.157265
dens 0.157359 0.157359
dens 0.157876 0.157876
dens 0.158215 0.158215
dens 0.158299 0.158299
dens 0.158361 0.158361
dens 0.158712 0.158712
dens 0.15991 0.15991
dens 0.158974 0.158974
dens 0.159004 0.159004
dens 0.159256 0.159256
dens 0.156967 0.156967
dens 0.159526 0.159526
dens 0.157455 0.157455
dens 0.157839 0.157839
dens 0.157814 0.157814
dens 0.157528 0.157528
dens 0.159147 0.159147
dens 0.158608 0.158608
dens 0.157896 0.157896
dens 0.157806 0.157806
dens 0.160985 0.160985
dens 0.158708 0.158708
dens 0.159416 0.159416
dens 0.157053 0.157053
dens 0.158412 0.158412
dens 0.158795 0.158795
dens 0.158704 0.158704
dens 0.159811 0.159811
dens 0.159191 0.159191
dens 0.157718 0.157718
dens 0.159896 0.159896
dens 0.158422 0.158422
dens 0.159258 0.159258
dens 0.159786 0.159786
dens 0.159061 0.159061
dens 0.15943 0.15943
dens 0.158316 0.158316
dens 0.158431 0.158431
dens 0.159559 0.159559
dens 0.159394 0.159394
dens 0.159066 0.159066
dens 0.158239 0.158239
dens 0.159311 0.159311
dens 0.15998 0.15998
dens 0.158654 0.158654
dens 0.158808 0.158808
dens 0.158675 0.158675
dens 0.158651 0.158651
dens 0.158103 0.158103
dens 0.158866 0.158866
dens 0.158271 0.158271
dens 0.159822 0.159822
dens 0.158293 0.158293
dens 0.158543 0.158543
dens 0.158509 0.158509
dens 0.160138 0.160138
dens 0.160308 0.160308
dens 0.15856 0.15856
dens 0.16171 0.16171
dens 0.159829 0.159829
dens 0.16065 0.16065
dens 0.160245 0.160245
dens 0.158403 0.158403
dens 0.157882 0.157882
dens 0.160184 0.160184
dens 0.160428 0.160428
dens 0.159653 0.159653
dens 0.161744 0.161744
dens 0.160128 0.160128
dens 0.158345 0.158345
dens 0.161101 0.161101
dens 0.159189 0.159189
dens 0.16035 0.16035
dens 0.162041 0.162041
dens 0.160513 0.160513
dens 0.158339 0.158339
dens 0.158262 0.158262
dens 0.159911 0.159911
dens 0.160807 0.160807
dens 0.160086 0.160086
dens 0.159314 0.159314
dens 0.1584 0.1584
dens 0.160383 0.160383
dens 0.159504 0.159504
dens 0.160608 0.160608
dens 0.161398 0.161398
dens 0.159296 0.159296
dens 0.159273 0.159273
dens 0.159362 0.159362
dens 0.160414 0.160414
dens 0.159695 0.159695
dens 0.160283 0.160283
dens 0.160088 0.160088
dens 0.160295 0.160295
dens 0.16 0.16
dens 0.159759 0.159759
dens 0.162744 0.162744
dens 0.159577 0.159577
dens 0.160447 0.160447
dens 0.159421 0.159421
dens 0.159717 0.159717
dens 0.16164 0.16164
dens 0.160797 0.160797
dens 0.160863 0.160863
dens 0.158948 0.158948
dens 0.159073 0.159073
dens 0.160305 0.160305
dens 0.159623 0.159623
dens 0.160111 0.160111
dens 0.159067 0.159067
dens 0.160091 0.160091
dens 0.161273 0.161273
dens 0.159643 0.159643
dens 0.160508 0.160508
dens 0.159684 0.159684
dens 0.159794 0.159794
dens 0.160726 0.160726
dens 0.159145 0.159145
dens 0.161777 0.161777
dens 0.159035 0.159035
dens 0.160661 0.160661
dens 0.160451 0.160451
dens 0.160421 0.160421
dens 0.161082 0.161082
dens 0.159108 0.159108
dens 0.161836 0.161836
dens 0.160549 0.160549
dens 0.160206 0.160206
dens 0.160049 0.160049
dens 0.161645 0.161645
dens 0.162412 0.162412
dens 0.160742 0.160742
dens 0.160779 0.160779
dens 0.160062 0.160062
dens 0.162466 0.162466
dens 0.160463 0.160463
dens 0.159255 0.159255
dens 0.161438 0.161438
dens 0.161847 0.161847
dens 0.162389 0.162389
dens 0.162713 0.162713
dens 0.160498 0.160498
dens 0.161322 0.161322
dens 0.159765 0.159765
dens 0.161229 0.161229
dens 0.159729 0.159729
dens 0.162854 0.162854
dens 0.161902 0.161902
dens 0.160528 0.160528
dens 0.159615 0.159615
dens 0.160179 0.160179
dens 0.160752 0.160752
dens 0.160364 0.160364
dens 0.158823 0.158823
dens 0.161682 0.161682
dens 0.161763 0.161763
dens 0.162003 0.162003
dens 0.161163 0.161163
dens 0.16321 0.16321
dens 0.160065 0.160065
dens 0.162304 0.162304
dens 0.160824 0.160824
dens 0.160403 0.160403
dens 0.162019 0.162019
dens 0.16113 0.16113
dens 0.160061 0.160061
dens 0.162491 0.162491
dens 0.16182 0.16182
dens 0.160123 0.160123
dens 0.160064 0.160064
dens 0.161569 0.161569
dens 0.162242 0.162242
dens 0.161636 0.161636
dens 0.16116 0.16116
dens 0.162085 0.162085
dens 0.161792 0.161792
dens 0.160432 0.160432
dens 0.162084 0.162084
dens 0.161773 0.161773
dens 0.161769 0.161769
dens 0.161805 0.161805
dens 0.159666 0.159666
dens 0.161134 0.161134
dens 0.16319 0.16319
dens 0.161981 0.161981
dens 0.16186 0.16186
dens 0.161127 0.161127
dens 0.162201 0.162201
dens 0.159817 0.159817
dens 0.161921 0.161921
dens 0.163594 0.163594
dens 0.162141 0.162141
dens 0.161783 0.161783
dens 0.162761 0.162761
dens 0.161633 0.161633
dens 0.16171 0.16171
dens 0.161193 0.161193
dens 0.161454 0.161454
dens 0.163057 0.163057
dens 0.161176 0.161176
dens 0.161268 0.161268
dens 0.16059 0.16059
dens 0.160903 0.160903
dens 0.162092 0.162092
dens 0.161157 0.161157
dens 0.161599 0.161599
dens 0.162351 0.162351
dens 0.162851 0.162851
dens 0.160784 0.160784
dens 0.162789 0.162789
dens 0.161934 0.161934
dens 0.16242 0.16242
dens 0.161837 0.161837
dens 0.161855 0.161855
dens 0.162414 0.162414
dens 0.162015 0.162015
dens 0.160435 0.160435
dens 0.162931 0.162931
dens 0.164937 0.164937
dens 0.162459 0.162459
dens 0.160593 0.160593
dens 0.162127 0.162127
dens 0.161818 0.161818
dens 0.161276 0.161276
dens 0.161583 0.161583
dens 0.163254 0.163254
dens 0.162278 0.162278
dens 0.161927 0.161927
dens 0.161176 0.161176
dens 0.162484 0.162484
dens 0.162908 0.162908
dens 0.161584 0.161584
dens 0.164769 0.164769
dens 0.163767 0.163767
dens 0.16204 0.16204
dens 0.16322 0.16322
dens 0.164588 0.164588
dens 0.162328 0.162328
dens 0.163362 0.163362
dens 0.163791 0.163791
dens 0.161711 0.161711
dens 0.160881 0.160881
dens 0.164462 0.164462
dens 0.162087 0.162087
dens 0.163284 0.163284
dens 0.163905 0.163905
dens 0.161831 0.161831
dens 0.161546 0.161546
dens 0.162818 0.162818
dens 0.163426 0.163426
dens 0.162126 0.162126
dens 0.162385 0.162385
dens 0.163259 0.163259
dens 0.161658 0.161658
dens 0.161724 0.161724
dens 0.161211 0.161211
dens 0.162878 0.162878
dens 0.161838 0.161838
dens 0.163345 0.163345
dens 0.161348 0.161348
dens 0.161932 0.161932
dens 0.161327 0.161327
dens 0.161875 0.161875
dens 0.160562 0.160562
dens 0.162927 0.162927
dens 0.164075 0.164075
dens 0.162861 0.162861
dens 0.161566 0.161566
dens 0.163735 0.163735
dens 0.161946 0.161946
dens 0.161071 0.161071
dens 0.163171 0.163171
dens 0.16367 0.16367
dens 0.164371 0.164371
dens 0.161461 0.161461
dens 0.164317 0.164317
dens 0.162449 0.162449
dens 0.163238 0.163238
dens 0.163979 0.163979
dens 0.163489 0.163489
dens 0.163547 0.163547
dens 0.161652 0.161652
dens 0.16202 0.16202
dens 0.162723 0.162723
dens 0.164612 0.164612
dens 0.161659 0.161659
dens 0.164555 0.164555
dens 0.164031 0.164031
dens 0.163064 0.163064
dens 0.162419 0.162419
dens 0.163788 0.163788
dens 0.162683 0.162683
dens 0.164211 0.164211
dens 0.163286 0.163286
dens 0.162731 0.162731
dens 0.162229 0.162229
dens 0.162763 0.162763
dens 0.163624 0.163624
dens 0.164557 0.164557
dens 0.162839 0.162839
dens 0.16353 0.16353
dens 0.163218 0.163218
dens 0.161852 0.161852
dens 0.16537 0.16537
dens 0.164095 0.164095
dens 0.164272 0.164272
dens 0.163851 0.163851
dens 0.16396 0.16396
dens 0.167396 0.167396
dens 0.165976 0.165976
dens 0.16342 0.16342
dens 0.162124 0.162124
dens 0.162637 0.162637
dens 0.162552 0.162552
dens 0.165333 0.165333
dens 0.163036 0.163036
dens 0.164817 0.164817
dens 0.165831 0.165831
dens 0.163977 0.163977
dens 0.162031 0.162031
dens 0.163744 0.163744
dens 0.161825 0.161825
dens 0.16392 0.16392
dens 0.164571 0.164571
dens 0.163327 0.163327
dens 0.163556 0.163556
dens 0.165053 0.165053
dens 0.162322 0.162322
dens 0.163424 0.163424
dens 0.165413 0.165413
dens 0.16365 0.16365
dens 0.165304 0.165304
dens 0.162932 0.162932
dens 0.164831 0.164831
dens 0.164402 0.164402
dens 0.165626 0.165626
dens 0.162757 0.162757
dens 0.165298 0.165298
dens 0.165532 0.165532
dens 0.163336 0.163336
dens 0.164813 0.164813
dens 0.161548 0.161548
dens 0.16503 0.16503
dens 0.16401 0.16401
dens 0.163604 0.163604
dens 0.16315 0.16315
dens 0.164371 0.164371
dens 0.166072 0.166072
dens 0.167064 0.167064
dens 0.163212 0.163212
dens 0.163752 0.163752
dens 0.164706 0.164706
dens 0.164556 0.164556
dens 0.164908 0.164908
dens 0.163451 0.163451
dens 0.162902 0.162902
dens 0.16589 0.16589
dens 0.164724 0.164724
dens 0.163094 0.163094
dens 0.162769 0.162769
dens 0.163209 0.163209
dens 0.165064 0.165064
dens 0.165328 0.165328
dens 0.163446 0.163446
dens 0.163004 0.163004
dens 0.162954 0.162954
dens 0.165581 0.165581
dens 0.164137 0.164137
dens 0.16571 0.16571
dens 0.164804 0.164804
dens 0.166221 0.166221
dens 0.164297 0.164297
dens 0.165697 0.165697
dens 0.163514 0.163514
dens 0.164928 0.164928
dens 0.165687 0.165687
dens 0.166103 0.166103
dens 0.163989 0.163989
dens 0.165677 0.165677
dens 0.167282 0.167282
dens 0.164289 0.164289
dens 0.165378 0.165378
dens 0.164885 0.164885
dens 0.166496 0.166496
dens 0.164912 0.164912
dens 0.166543 0.166543
dens 0.165598 0.165598
dens 0.167838 0.167838
dens 0.165943 0.165943
dens 0.164315 0.164315
dens 0.165108 0.165108
dens 0.167146 0.167146
dens 0.163831 0.163831
dens 0.168055 0.168055
dens 0.163593 0.163593
dens 0.163744 0.163744
dens 0.166408 0.166408
dens 0.165688 0.165688
dens 0.163545 0.163545
dens 0.167694 0.167694
dens 0.16438 0.16438
dens 0.16854 0.16854
dens 0.167038 0.167038
dens 0.163353 0.163353
dens 0.16829 0.16829
dens 0.162726 0.162726
dens 0.167966 0.167966
dens 0.164252 0.164252
dens 0.162951 0.162951
dens 0.163401 0.163401
dens 0.166624 0.166624
dens 0.166154 0.166154
dens 0.165103 0.165103
dens 0.164813 0.164813
dens 0.165701 0.165701
dens 0.166334 0.166334
dens 0.162002 0.162002
dens 0.16507 0.16507
dens 0.162801 0.162801
dens 0.162486 0.162486
dens 0.164494 0.164494
dens 0.165876 0.165876
dens 0.165569 0.165569
dens 0.169152 0.169152
dens 0.165678 0.165678
dens 0.169658 0.169658
dens 0.162682 0.162682
dens 0.164567 0.164567
dens 0.164284 0.164284
dens 0.165549 0.165549
dens 0.163631 0.163631
dens 0.164531 0.164531
dens 0.167623 0.167623
dens 0.164304 0.164304
dens 0.164525 0.164525
dens 0.165056 0.165056
dens 0.163009 0.163009
dens 0.167091 0.167091
dens 0.164995 0.164995
dens 0.166114 0.166114
dens 0.166247 0.166247
dens 0.165865 0.165865
dens 0.167151 0.167151
dens 0.164623 0.164623
dens 0.164463 0.164463
dens 0.164751 0.164751
dens 0.164099 0.164099
dens 0.165618 0.165618
dens 0.16407 0.16407
dens 0.165822 0.165822
dens 0.167266 0.167266
dens 0.162651 0.162651
dens 0.166746 0.166746
dens 0.165423 0.165423
dens 0.165215 0.165215
dens 0.166535 0.166535
dens 0.164652 0.164652
dens 0.162887 0.162887
dens 0.16543 0.16543
dens 0.168625 0.168625
dens 0.165578 0.165578
dens 0.164592 0.164592
dens 0.165972 0.165972
dens 0.164802 0.164802
dens 0.16679 0.16679
dens 0.165708 0.165708
dens 0.16512 0.16512
dens 0.166738 0.166738
dens 0.166649 0.166649
dens 0.165972 0.165972
dens 0.166875 0.166875
dens 0.167463 0.167463
dens 0.164486 0.164486
dens 0.167823 0.167823
dens 0.165271 0.165271
dens 0.167333 0.167333
dens 0.164726 0.164726
dens 0.164754 0.164754
dens 0.165514 0.165514
dens 0.16567 0.16567
dens 0.16484 0.16484
dens 0.167538 0.167538
dens 0.164907 0.164907
dens 0.165221 0.165221
dens 0.167335 0.167335
dens 0.166433 0.166433
dens 0.16753 0.16753
dens 0.166197 0.166197
dens 0.165823 0.165823
dens 0.163911 0.163911
dens 0.164681 0.164681
dens 0.16603 0.16603
dens 0.167087 0.167087
dens 0.165559 0.165559
dens 0.16638 0.16638
dens 0.164271 0.164271
dens 0.16549 0.16549
dens 0.168216 0.168216
dens 0.169995 0.169995
dens 0.16631 0.16631
dens 0.164735 0.164735
dens 0.164293 0.164293
dens 0.16575 0.16575
dens 0.167294 0.167294
dens 0.16482 0.16482
dens 0.167559 0.167559
dens 0.169071 0.169071
dens 0.167351 0.167351
dens 0.166238 0.166238
dens 0.166561 0.166561
dens 0.163835 0.163835
dens 0.16606 0.16606
dens 0.167914 0.167914
dens 0.167524 0.167524
dens 0.16472 0.16472
dens 0.163939 0.163939
dens 0.167955 0.167955
dens 0.165627 0.165627
dens 0.166679 0.166679
dens 0.165587 0.165587
dens 0.166606 0.166606
dens 0.165122 0.165122
dens 0.166545 0.166545
dens 0.168404 0.168404
dens 0.167379 0.167379
dens 0.166622 0.166622
dens 0.167366 0.167366
dens 0.166523 0.166523
dens 0.166868 0.166868
dens 0.166389 0.166389
dens 0.166409 0.166409
dens 0.164484 0.164484
dens 0.165963 0.165963
dens 0.166867 0.166867
dens 0.1667 0.1667
dens 0.165993 0.165993
dens 0.167384 0.167384
dens 0.166006 0.166006
dens 0.165342 0.165342
dens 0.166929 0.166929
dens 0.165963 0.165963
dens 0.166691 0.166691
dens 0.167337 0.167337
dens 0.167385 0.167385
dens 0.165529 0.165529
dens 0.170585 0.170585
dens 0.166613 0.166613
dens 0.167449 0.167449
dens 0.165486 0.165486
dens 0.169769 0.169769
dens 0.167419 0.167419
dens 0.167003 0.167003
dens 0.166473 0.166473
dens 0.166873 0.166873
dens 0.165016 0.165016
dens 0.164697 0.164697
dens 0.167016 0.167016
dens 0.169953 0.169953
dens 0.167172 0.167172
dens 0.168283 0.168283
dens 0.166288 0.166288
dens 0.17193 0.17193
dens 0.166997 0.166997
dens 0.167629 0.167629
dens 0.16572 0.16572
dens 0.165995 0.165995
dens 0.168845 0.168845
dens 0.166112 0.166112
dens 0.168751 0.168751
dens 0.16941 0.16941
dens 0.16753 0.16753
dens 0.165831 0.165831
dens 0.169172 0.169172
dens 0.165252 0.165252
dens 0.167708 0.167708
dens 0.165164 0.165164
dens 0.169828 0.169828
dens 0.166899 0.166899
dens 0.165474 0.165474
dens 0.166241 0.166241
dens 0.167782 0.167782
dens 0.165713 0.165713
dens 0.165599 0.165599
dens 0.167805 0.167805
dens 0.166574 0.166574
dens 0.168437 0.168437
dens 0.166562 0.166562
dens 0.168123 0.168123
dens 0.164928 0.164928
dens 0.165898 0.165898
dens 0.167854 0.167854
dens 0.167002 0.167002
dens 0.165293 0.165293
dens 0.167466 0.167466
dens 0.171118 0.171118
dens 0.165527 0.165527
dens 0.166104 0.166104
dens 0.169542 0.169542
dens 0.166054 0.166054
dens 0.169011 0.169011
dens 0.165801 0.165801
dens 0.168901 0.168901
dens 0.166994 0.166994
dens 0.168449 0.168449
dens 0.166273 0.166273
dens 0.163978 0.163978
dens 0.164811 0.164811
dens 0.16756 0.16756
dens 0.165978 0.165978
dens 0.170437 0.170437
dens 0.16823 0.16823
dens 0.17013 0.17013
dens 0.169259 0.169259
dens 0.167453 0.167453
dens 0.166245 0.166245
dens 0.165716 0.165716
dens 0.170137 0.170137
dens 0.168739 0.168739
dens 0.163313 0.163313
dens 0.166875 0.166875
dens 0.168876 0.168876
dens 0.167873 0.167873
dens 0.166458 0.166458
dens 0.16579 0.16579
dens 0.167738 0.167738
dens 0.166213 0.166213
dens 0.170926 0.170926
dens 0.16698 0.16698
dens 0.167055 0.167055
dens 0.167246 0.167246
dens 0.167219 0.167219
dens 0.167378 0.167378
dens 0.164257 0.164257
dens 0.170548 0.170548
dens 0.169068 0.169068
dens 0.166122 0.166122
dens 0.16797 0.16797
dens 0.166897 0.166897
dens 0.167045 0.167045
dens 0.170407 0.170407
dens 0.168777 0.168777
dens 0.169619 0.169619
dens 0.166688 0.166688
dens 0.167972 0.167972
dens 0.166208 0.166208
dens 0.167756 0.167756
dens 0.169173 0.169173
dens 0.167996 0.167996
